Record Date,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount
12/31/21,Executive Office of the President,31567639.65,114355973.3,110565684.7
12/31/21,General Services Administration,134713783.3,15301518.4,154904375.8
12/31/21,International Assistance Programs,-915983139.1,4349038168,5074070366
12/31/21,National Aeronautics and Space Administration,2231639653,6328579974,6213923116
12/31/21,National Science Foundation,635899573.4,1854330621,1681982099
12/31/21,Office of Personnel Management,9241582363,27732714568,26498820221
12/31/21,Small Business Administration,3226387787,10835734630,3741413051
12/31/21,Social Security Administration,1.0526E+11,3.06748E+11,3.21748E+11
12/31/21,Independent Agencies,1604443168,9223640360,5473636789
12/31/21,Allowances,null,null,null
12/31/21,Undistributed Offsetting Receipts:,null,null,null
12/31/21,Interest,-55165314970,-49329588120,-43112135610
12/31/21,Other,-8989543827,-46051637703,-42092336722
12/31/21,Total Outlays,5.08041E+11,1.42957E+12,1.37627E+12
12/31/21,(On-Budget),4.47088E+11,1.19182E+12,1.12621E+12
12/31/21,(Off-Budget),60952550990,2.37746E+11,2.50054E+11
12/31/21,Surplus (+) or Deficit (-),-21303129425,-3.77694E+11,-5.72899E+11
12/31/21,(On-Budget),-46479849280,-3.74424E+11,-5.49227E+11
12/31/21,(Off-Budget),25176719855,-3269863780,-23671909701
11/30/21,Employment and General Retirement (Off-Budget),77055000000,1.48347E+11,1.44742E+11
11/30/21,Employment and General Retirement (On-Budget),27507513935,52803833518,50158169883
11/30/21,Budget Receipts,null,null,null
11/30/21,Individual Income Taxes,1.38186E+11,2.82094E+11,2.02523E+11
11/30/21,Corporation Income Taxes,-321051200.3,15385487316,5959908231
11/30/21,Social Insurance and Retirement Receipts:,null,null,null
11/30/21,Unemployment Insurance,11554821829,13987403378,5701352511
11/30/21,Other Retirement,563284486.7,1133967642,987828829
11/30/21,Excise Taxes,7774828962,13360350604,10348943277
11/30/21,Estate and Gift Taxes,1803694160,4261738645,3987095403
11/30/21,Customs Duties,7816220157,15586258131,12121226629
11/30/21,Miscellaneous Receipts,9267283210,18175047169,20720622699
11/30/21,Total Receipts,2.81208E+11,5.65135E+11,4.5725E+11
11/30/21,(On-Budget),2.04153E+11,4.16788E+11,3.12508E+11
11/30/21,(Off-Budget),77055000000,1.48347E+11,1.44742E+11
11/30/21,Budget Outlays,null,null,null
11/30/21,Legislative Branch,547717704.3,1056002484,972768728.8
11/30/21,Judicial Branch,737967281.4,1552742805,1494274159
11/30/21,Department of Agriculture,23628948323,49495887145,51096840845
11/30/21,Department of Commerce,1977878632,2778496971,2681901111
11/30/21,Department of Defense--Military Programs,60816771609,1.26299E+11,1.28059E+11
11/30/21,Department of Education,11543399807,26211994198,14785061708
11/30/21,Department of Energy,2250677778,5684905393,5692777165
11/30/21,Department of Health and Human Services,1.342E+11,2.54706E+11,2.33758E+11
11/30/21,Department of Homeland Security,8079138596,14418270042,20762362584
11/30/21,Department of Housing and Urban Development,4385761349,9074444790,7840978814
11/30/21,Department of the Interior,1242344550,2517449492,2113638740
11/30/21,Department of Justice,3546002833,6306402412,5887549544
11/30/21,Department of Labor,5480605264,7574127609,49680998206
11/30/21,Department of State,4044411478,6228809199,5914619697
11/30/21,Department of Transportation,8275443944,15919826333,15717590102
11/30/21,Department of the Treasury:,null,null,null
11/30/21,Interest on Treasury Debt Securities (Gross),36029498136,54968461525,52819410047
11/30/21,Other,30700972128,65130860500,26875630853
11/30/21,Department of Veterans Affairs,20207438558,42140343605,38771420306
11/30/21,Corps of Engineers,811540684.7,1460523909,1464105405
11/30/21,Other Defense Civil Programs,5036914199,11932254759,12149814766
11/30/21,Environmental Protection Agency,758376677.1,1544476562,1499211799
11/30/21,Executive Office of the President,35085023.7,82788333.68,77407854.78
11/30/21,General Services Administration,-52547804.63,-119412264.9,-178726628.7
11/30/21,International Assistance Programs,3177171413,5265021307,3861051737
11/30/21,National Aeronautics and Space Administration,2332301236,4096940321,3811325625
11/30/21,National Science Foundation,574610045.7,1218431047,1164789750
11/30/21,Office of Personnel Management,9126590575,18491132205,17631300753
11/30/21,Small Business Administration,5276585291,7609346843,3145953058
11/30/21,Social Security Administration,1.00432E+11,2.01487E+11,1.95074E+11
11/30/21,Independent Agencies,1281117572,7619197192,7703498628
11/30/21,Allowances,null,null,null
11/30/21,Undistributed Offsetting Receipts:,null,null,null
11/30/21,Interest,-4122137059,5835726849,8320097312
11/30/21,Other,-9819067103,-37062093877,-34061868608
11/30/21,Total Outlays,4.72543E+11,9.21526E+11,8.86587E+11
11/30/21,(On-Budget),3.7942E+11,7.44732E+11,7.13982E+11
11/30/21,(Off-Budget),93122784433,1.76794E+11,1.72605E+11
11/30/21,Surplus (+) or Deficit (-),-1.91335E+11,-3.5639E+11,-4.29337E+11
11/30/21,(On-Budget),-1.75267E+11,-3.27944E+11,-4.01474E+11
11/30/21,(Off-Budget),-16067784433,-28446583635,-27862932070
10/31/21,Employment and General Retirement (On-Budget),25296319582,25296319582,23991994955
10/31/21,Unemployment Insurance,2432581549,2432581549,1891385256
10/31/21,Excise Taxes,5585521642,5585521642,4747335097
10/31/21,Estate and Gift Taxes,2458044484,2458044484,2148508995
10/31/21,Customs Duties,7770037974,7770037974,6155928280
10/31/21,Miscellaneous Receipts,8907763959,8907763959,10877990444
10/31/21,Total Receipts,2.83927E+11,2.83927E+11,2.37697E+11
10/31/21,(On-Budget),2.12635E+11,2.12635E+11,1.68234E+11
10/31/21,(Off-Budget),71292000000,71292000000,69463000000
10/31/21,Budget Outlays,null,null,null
10/31/21,Legislative Branch,508284779.5,508284779.5,505114006.8
10/31/21,Judicial Branch,814775523.5,814775523.5,810430371
10/31/21,Department of Agriculture,25866938822,25866938822,31857103349
10/31/21,Department of Commerce,800618339,800618339,1282364015
10/31/21,Department of Defense--Military Programs,65482118094,65482118094,76529902595
10/31/21,Department of Education,14668594391,14668594391,7709293774
10/31/21,Department of Energy,3434227615,3434227615,3235338260
10/31/21,Department of Health and Human Services,1.20507E+11,1.20507E+11,1.57909E+11
10/31/21,Department of Homeland Security,6339131447,6339131447,13078531857
10/31/21,Department of Housing and Urban Development,4688683441,4688683441,3875925357
10/31/21,Department of the Interior,1275104942,1275104942,1208115655
10/31/21,Budget Receipts,null,null,null
10/31/21,Individual Income Taxes,1.43908E+11,1.43908E+11,1.08748E+11
10/31/21,Corporation Income Taxes,15706538517,15706538517,9152029869
10/31/21,Social Insurance and Retirement Receipts:,null,null,null
10/31/21,Employment and General Retirement (Off-Budget),71292000000,71292000000,69463000000
10/31/21,Department of Justice,2760399579,2760399579,2597473363
10/31/21,Department of Labor,2093522345,2093522345,22851943726
10/31/21,Department of State,2184397721,2184397721,3492981905
10/31/21,Department of Transportation,7644382389,7644382389,7943289883
10/31/21,Department of the Treasury:,null,null,null
10/31/21,Interest on Treasury Debt Securities (Gross),18938963389,18938963389,20075658454
10/31/21,Other,34429888372,34429888372,16212571892
10/31/21,Department of Veterans Affairs,21932905047,21932905047,29923604362
10/31/21,Corps of Engineers,648983224.7,648983224.7,847227542.7
10/31/21,Other Defense Civil Programs,6895340560,6895340560,11663294952
10/31/21,Environmental Protection Agency,786099885.1,786099885.1,812507745.9
10/31/21,Executive Office of the President,47703309.98,47703309.98,44167933.76
10/31/21,General Services Administration,-66864460.28,-66864460.28,55521551.34
10/31/21,International Assistance Programs,2087849895,2087849895,1035541208
10/31/21,National Aeronautics and Space Administration,1764639085,1764639085,1992829302
10/31/21,National Science Foundation,643821001.5,643821001.5,600183106.7
10/31/21,Office of Personnel Management,9364541629,9364541629,8887905095
10/31/21,Small Business Administration,2332761553,2332761553,2475672189
10/31/21,Social Security Administration,1.01055E+11,1.01055E+11,1.02355E+11
10/31/21,Independent Agencies,6338079620,6338079620,4832703462
10/31/21,Allowances,null,null,null
10/31/21,Undistributed Offsetting Receipts:,null,null,null
10/31/21,Interest,9957863909,9957863909,11168270033
10/31/21,Other,-27243026774,-27243026774,-26101271694
10/31/21,Total Outlays,4.48983E+11,4.48983E+11,5.21768E+11
10/31/21,(On-Budget),3.65312E+11,3.65312E+11,4.39355E+11
10/31/21,(Off-Budget),83670799202,83670799202,82413320176
10/31/21,Surplus (+) or Deficit (-),-1.65055E+11,-1.65055E+11,-2.84071E+11
10/31/21,(On-Budget),-1.52677E+11,-1.52677E+11,-2.7112E+11
10/31/21,(Off-Budget),-12378799202,-12378799202,-12950320176
10/31/21,Other Retirement,570683155.3,570683155.3,521668337.7
9/30/21,Budget Receipts,null,null,null
9/30/21,Individual Income Taxes,2.14788E+11,2.04438E+12,1.60866E+12
9/30/21,Department of Housing and Urban Development,3190267643,31779072379,33190108476
9/30/21,Corporation Income Taxes,86712836649,3.71831E+11,2.11845E+11
9/30/21,Social Insurance and Retirement Receipts:,null,null,null
9/30/21,Employment and General Retirement (Off-Budget),87386593191,9.52322E+11,9.65428E+11
9/30/21,Employment and General Retirement (On-Budget),29980683305,2.99536E+11,2.96222E+11
9/30/21,Unemployment Insurance,5662924628,56601808949,43103787706
9/30/21,Other Retirement,452958624.6,5629367791,5200612526
9/30/21,Excise Taxes,10623616030,75271184579,86782067346
9/30/21,Estate and Gift Taxes,2432539484,27140075206,17624156022
9/30/21,Customs Duties,7857224710,79984829486,68550229846
9/30/21,Miscellaneous Receipts,13625890600,1.33285E+11,1.16538E+11
9/30/21,Total Receipts,4.59523E+11,4.04598E+12,3.41996E+12
9/30/21,(On-Budget),3.72136E+11,3.09366E+12,2.45453E+12
9/30/21,(Off-Budget),87386593191,9.52322E+11,9.65428E+11
9/30/21,Budget Outlays,null,null,null
9/30/21,Legislative Branch,463590602.7,5263121644,5367011719
9/30/21,Judicial Branch,689525335,8310486157,8250910162
9/30/21,Department of Agriculture,18596492411,2.35193E+11,1.84223E+11
9/30/21,Department of Commerce,740052951.8,13133928911,15917811937
9/30/21,Department of Defense--Military Programs,63732795776,7.17585E+11,6.90419E+11
9/30/21,Department of Education,1.0831E+11,2.60381E+11,2.04415E+11
9/30/21,Department of Energy,3310531280,33694416248,32045666816
9/30/21,Department of Health and Human Services,1.26542E+11,1.46667E+12,1.50395E+12
9/30/21,Department of Homeland Security,8649321427,91068864328,91963073272
9/30/21,Department of the Interior,2004166781,15787794449,16415614252
9/30/21,Department of Justice,3806540926,39261464024,39606575176
9/30/21,Department of Labor,15283473302,4.04771E+11,4.7753E+11
9/30/21,Department of State,3980778357,35814168474,32859230191
9/30/21,Department of Transportation,13173234131,1.04936E+11,1.00342E+11
9/30/21,Department of the Treasury:,null,null,null
9/30/21,Interest on Treasury Debt Securities (Gross),37681586630,5.62388E+11,5.22652E+11
9/30/21,Other,-16548059725,1.07136E+12,6.29074E+11
9/30/21,Department of Veterans Affairs,21199240062,2.33781E+11,2.18394E+11
9/30/21,Corps of Engineers,381175793.4,7935596750,7630906995
9/30/21,Other Defense Civil Programs,4886974699,58084581271,65264164832
9/30/21,Environmental Protection Agency,767712012.2,8308686437,8723063591
9/30/21,Executive Office of the President,34602396.33,427352737.5,402421592.5
9/30/21,General Services Administration,-86194454.21,-1269471522,-265190266.5
9/30/21,International Assistance Programs,2788125088,20047274084,21677970041
9/30/21,National Aeronautics and Space Administration,1799177089,22248799228,21523922995
9/30/21,National Science Foundation,764014576.6,7354376932,7277569586
9/30/21,Office of Personnel Management,9680151535,1.08552E+11,1.05625E+11
9/30/21,Small Business Administration,2766843597,3.22721E+11,5.77412E+11
9/30/21,Social Security Administration,99682056055,1.19245E+12,1.15391E+12
9/30/21,Independent Agencies,-485592063.2,13554396550,17650260363
9/30/21,Undistributed Offsetting Receipts:,null,null,null
9/30/21,Interest,-4196091707,-1.49579E+11,-1.35215E+11
9/30/21,Other,-12521268579,-1.23861E+11,-1.06363E+11
9/30/21,Total Outlays,5.21067E+11,6.81816E+12,6.55187E+12
9/30/21,(On-Budget),4.28506E+11,5.81431E+12,5.59629E+12
9/30/21,(Off-Budget),92561246968,1.00385E+12,9.55581E+11
9/30/21,Surplus (+) or Deficit (-),-61544251213,-2.77218E+12,-3.13192E+12
9/30/21,(On-Budget),-56369597436,-2.72065E+12,-3.14176E+12
9/30/21,(Off-Budget),-5174653777,-51525204582,9846288255
8/31/21,Budget Receipts,null,null,null
8/31/21,Employment and General Retirement (Off-Budget),77147000000,8.64936E+11,8.79522E+11
8/31/21,Employment and General Retirement (On-Budget),23279195880,2.69555E+11,2.69528E+11
8/31/21,Unemployment Insurance,6031165166,50938884322,41022974878
8/31/21,Other Retirement,453717785.6,5176409167,4778304525
8/31/21,Excise Taxes,7441274536,64647568550,60584420846
8/31/21,Estate and Gift Taxes,1727671943,24707535722,15474922596
8/31/21,Customs Duties,7270443117,72127604776,62500835296
8/31/21,Miscellaneous Receipts,18148524048,1.1966E+11,1.04006E+11
8/31/21,Total Receipts,2.68378E+11,3.58646E+12,3.04679E+12
8/31/21,(On-Budget),1.91231E+11,2.72152E+12,2.16726E+12
8/31/21,(Off-Budget),77147000000,8.64936E+11,8.79522E+11
8/31/21,Legislative Branch,391218143.7,4799531041,4880770532
8/31/21,Judicial Branch,662098696.3,7620960822,7601012252
8/31/21,Department of Agriculture,20039043042,2.16597E+11,1.67273E+11
8/31/21,Department of Commerce,810510392.2,12393875959,14382317120
8/31/21,Department of Defense--Military Programs,48948119359,6.53852E+11,6.27393E+11
8/31/21,Department of Education,14781409150,1.52071E+11,1.51739E+11
8/31/21,Department of Energy,2846700722,30383884968,29000276557
8/31/21,Department of Health and Human Services,87297846671,1.34013E+12,1.37879E+12
8/31/21,Department of Homeland Security,6722158833,82419542901,59945622525
8/31/21,Department of Housing and Urban Development,3828260435,28588804736,31076029523
8/31/21,Department of the Interior,1174667450,13783697523,14758967443
8/31/21,Department of Justice,3093814480,35454923098,34793280005
8/31/21,Department of Labor,30581787375,3.89487E+11,4.43336E+11
8/31/21,Department of State,3313483983,31833390117,28799138253
8/31/21,Department of Transportation,9372046942,91762775748,87781301948
8/31/21,Department of the Treasury:,null,null,null
8/31/21,Interest on Treasury Debt Securities (Gross),57718583455,5.24707E+11,4.83892E+11
8/31/21,Other,65880374970,1.08791E+12,6.47279E+11
8/31/21,Department of Veterans Affairs,10501828007,2.12582E+11,1.9767E+11
8/31/21,Corps of Engineers,634575331.4,7554420957,7781845137
8/31/21,Other Defense Civil Programs,-2198873371,53197606573,60466611424
8/31/21,Environmental Protection Agency,639982283.5,7540974424,8068520621
8/31/21,Executive Office of the President,35793888.39,392750341.1,376610478.9
8/31/21,General Services Administration,-296444560.3,-1183277068,-122130914.8
8/31/21,International Assistance Programs,1160222113,17259148996,20367587855
8/31/21,National Aeronautics and Space Administration,2130532118,20449622139,19451733487
8/31/21,National Science Foundation,836707431.7,6590362355,6555406606
8/31/21,Office of Personnel Management,9067619917,98871559520,96266077167
8/31/21,Small Business Administration,-17950019429,3.19954E+11,5.75452E+11
8/31/21,Social Security Administration,95726023983,1.09277E+12,1.05691E+12
8/31/21,Independent Agencies,2376275470,14039988613,19945863124
8/31/21,Interest,-12241826240,-1.45383E+11,-1.31539E+11
8/31/21,Other,-8871784481,-1.11339E+11,-96278340530
8/31/21,Total Outlays,4.39013E+11,6.29709E+12,6.05409E+12
8/31/21,(On-Budget),3.4556E+11,5.3858E+12,5.18854E+12
8/31/21,(Off-Budget),93452848814,9.11286E+11,8.65548E+11
8/31/21,Surplus (+) or Deficit (-),-1.70635E+11,-2.71063E+12,-3.00731E+12
8/31/21,(On-Budget),-1.54329E+11,-2.66428E+12,-3.02128E+12
8/31/21,(Off-Budget),-16305848814,-46350550805,13974058977
8/31/21,Individual Income Taxes,1.23847E+11,1.82959E+12,1.44718E+12
8/31/21,Corporation Income Taxes,3032509989,2.85119E+11,1.62185E+11
8/31/21,Social Insurance and Retirement Receipts:,null,null,null
8/31/21,Budget Outlays,null,null,null
8/31/21,Undistributed Offsetting Receipts:,null,null,null
7/31/21,Budget Receipts,null,null,null
7/31/21,Individual Income Taxes,1.1508E+11,1.70574E+12,1.3577E+12
7/31/21,Corporation Income Taxes,16941651171,2.82086E+11,1.60097E+11
7/31/21,Social Insurance and Retirement Receipts:,null,null,null
7/31/21,Employment and General Retirement (Off-Budget),75222000000,7.87789E+11,8.0526E+11
7/31/21,Employment and General Retirement (On-Budget),22607500478,2.46276E+11,2.47352E+11
7/31/21,Unemployment Insurance,4697762858,44907719156,37499098676
7/31/21,Other Retirement,471502277.7,4722691381,4364405003
7/31/21,Excise Taxes,6821648890,57206294014,52932517897
7/31/21,Estate and Gift Taxes,1503038606,22979863779,14038698758
7/31/21,Customs Duties,7508859270,64857161660,56604782491
7/31/21,Miscellaneous Receipts,11145894400,1.01511E+11,87716881934
7/31/21,Total Receipts,2.62E+11,3.31808E+12,2.82356E+12
7/31/21,(On-Budget),1.86778E+11,2.53029E+12,2.0183E+12
7/31/21,(Off-Budget),75222000000,7.87789E+11,8.0526E+11
7/31/21,Budget Outlays,null,null,null
7/31/21,Department of Defense--Military Programs,63369696551,6.04904E+11,5.78791E+11
7/31/21,Department of Education,11923317170,1.37289E+11,1.41737E+11
7/31/21,Legislative Branch,409921716,4408312897,4493701460
7/31/21,Judicial Branch,663244569.1,6958862126,6998415866
7/31/21,Department of Agriculture,18660432901,1.96558E+11,1.49453E+11
7/31/21,Department of Commerce,742369202,11583365567,12915631959
7/31/21,Department of Energy,2230031905,27537184246,26546334528
7/31/21,Department of Health and Human Services,1.67366E+11,1.25283E+12,1.29806E+12
7/31/21,Department of Homeland Security,5867316612,75697384068,52990745576
7/31/21,Department of Housing and Urban Development,-7455115009,24760544302,26556661990
7/31/21,Department of the Interior,1124857740,12609030073,13759443542
7/31/21,Department of Justice,3167257161,32361108617,31014616875
7/31/21,Department of Labor,29598084835,3.58906E+11,3.88813E+11
7/31/21,Department of State,5271093692,28519906134,26255887371
7/31/21,Department of Transportation,8687994531,82390728807,77042122571
7/31/21,Department of the Treasury:,null,null,null
7/31/21,Interest on Treasury Debt Securities (Gross),47815052504,4.66988E+11,4.36725E+11
7/31/21,Other,50027884110,1.02203E+12,6.30903E+11
7/31/21,Department of Veterans Affairs,28447754841,2.0208E+11,1.87743E+11
7/31/21,Corps of Engineers,444791840.4,6919845625,7068076992
7/31/21,Other Defense Civil Programs,9358666681,55396479944,61526645581
7/31/21,Environmental Protection Agency,578118536.2,6900992141,7465693083
7/31/21,Executive Office of the President,40122120.78,356956452.7,343354432.5
7/31/21,General Services Administration,-239761208.1,-886832507.6,47375653.89
7/31/21,International Assistance Programs,-705046204.1,16098926883,17994409471
7/31/21,National Aeronautics and Space Administration,1601430469,18319090021,17809792348
7/31/21,National Science Foundation,761368232.7,5753654923,5814394397
7/31/21,Office of Personnel Management,9580621960,89803939603,87832412815
7/31/21,Social Security Administration,1.04107E+11,9.97044E+11,9.64523E+11
7/31/21,Small Business Administration,13060955901,3.37904E+11,5.63101E+11
7/31/21,Independent Agencies,3215713715,11663713143,19360024612
7/31/21,Undistributed Offsetting Receipts:,null,null,null
7/31/21,Interest,-7955793844,-1.33141E+11,-1.2379E+11
7/31/21,Other,-7714766134,-1.02467E+11,-89039439941
7/31/21,Total Outlays,5.6405E+11,5.85808E+12,5.63086E+12
7/31/21,(On-Budget),4.82202E+11,5.04024E+12,4.85507E+12
7/31/21,(Off-Budget),81848367297,8.17833E+11,7.75784E+11
7/31/21,Surplus (+) or Deficit (-),-3.0205E+11,-2.54E+12,-2.80729E+12
7/31/21,(On-Budget),-2.95424E+11,-2.50996E+12,-2.83677E+12
7/31/21,(Off-Budget),-6626367297,-30044701992,29476366094
6/30/21,Budget Receipts,null,null,null
6/30/21,Individual Income Taxes,2.6484E+11,1.59066E+12,9.84593E+11
6/30/21,Corporation Income Taxes,74188859130,2.65144E+11,92106175672
6/30/21,Social Insurance and Retirement Receipts:,null,null,null
6/30/21,Employment and General Retirement (Off-Budget),58066093026,7.12567E+11,7.32785E+11
6/30/21,Employment and General Retirement (On-Budget),19916388206,2.23668E+11,2.25466E+11
6/30/21,Unemployment Insurance,1351981933,40209956298,33758627769
6/30/21,Department of Health and Human Services,1.27772E+11,1.08547E+12,1.12777E+12
6/30/21,Department of Homeland Security,8833746290,69830067456,47141990006
6/30/21,Department of Housing and Urban Development,4044024618,32215659310,22587687395
6/30/21,Department of the Interior,2048170045,11484172333,12371645344
6/30/21,Department of Justice,3760240660,29193851456,28682638662
6/30/21,Department of Labor,40952835338,3.29307E+11,2.79095E+11
6/30/21,Department of State,2465984195,23248812442,22969679841
6/30/21,Department of Transportation,9356796461,73702734276,66151347115
6/30/21,Department of the Treasury:,null,null,null
6/30/21,Interest on Treasury Debt Securities (Gross),99289765533,4.19173E+11,4.05423E+11
6/30/21,Other,80415664602,9.71998E+11,6.06377E+11
6/30/21,Department of Veterans Affairs,17919883121,1.73632E+11,1.60581E+11
6/30/21,Corps of Engineers,831566062.4,6475053785,6254030020
6/30/21,Other Defense Civil Programs,4100061805,46037813263,50644819057
6/30/21,Environmental Protection Agency,837040207,6322873605,6800297620
6/30/21,Executive Office of the President,28896373.11,316834332,304749221.5
6/30/21,General Services Administration,39418343.87,-647071299.5,48513715.38
6/30/21,International Assistance Programs,2221922681,16803973088,16960995220
6/30/21,National Aeronautics and Space Administration,1925239534,16717659552,15974553291
6/30/21,National Science Foundation,575341053.8,4992286691,5137834412
6/30/21,Office of Personnel Management,8772698841,80223317642,78389050186
6/30/21,Small Business Administration,31094913895,3.24843E+11,5.36963E+11
6/30/21,Social Security Administration,1.04446E+11,8.92938E+11,8.63303E+11
6/30/21,Independent Agencies,-3814890035,8447999428,17711992068
6/30/21,Undistributed Offsetting Receipts:,null,null,null
6/30/21,Interest,-57860292768,-1.25185E+11,-1.22204E+11
6/30/21,Other,-8592159318,-94752718897,-82193986841
6/30/21,Total Outlays,6.23359E+11,5.29403E+12,5.00437E+12
6/30/21,(On-Budget),5.61348E+11,4.55804E+12,4.30784E+12
6/30/21,(Off-Budget),62011486051,7.35985E+11,6.96531E+11
6/30/21,Surplus (+) or Deficit (-),-1.74161E+11,-2.23795E+12,-2.7443E+12
6/30/21,(On-Budget),-1.70215E+11,-2.21453E+12,-2.78056E+12
6/30/21,(Off-Budget),-3945393025,-23418334695,36254467547
6/30/21,Other Retirement,507407606.4,4251189103,3928506749
6/30/21,Excise Taxes,7099583495,50384645123,46706508726
6/30/21,Estate and Gift Taxes,2385489791,21476825172,11167688278
6/30/21,Customs Duties,7149802017,57348302390,51591954809
6/30/21,Miscellaneous Receipts,13692863601,90365140432,77964637947
6/30/21,Total Receipts,4.49199E+11,3.05608E+12,2.26007E+12
6/30/21,(On-Budget),3.91133E+11,2.34351E+12,1.52728E+12
6/30/21,(Off-Budget),58066093026,7.12567E+11,7.32785E+11
6/30/21,Budget Outlays,null,null,null
6/30/21,Legislative Branch,532680430,3998391181,4042233366
6/30/21,Judicial Branch,745057011.8,6295617557,6316816533
6/30/21,Department of Agriculture,21422486366,1.77897E+11,1.32254E+11
6/30/21,Department of Commerce,1251889774,10840996365,11807968534
6/30/21,Department of Defense--Military Programs,61491173698,5.41534E+11,5.16915E+11
6/30/21,Department of Education,53979852410,1.25366E+11,1.35857E+11
6/30/21,Department of Energy,2470672113,25307152341,23933778870
5/31/21,Budget Receipts,null,null,null
5/31/21,Individual Income Taxes,3.0646E+11,1.32582E+12,8.92477E+11
5/31/21,Corporation Income Taxes,13807804801,1.90955E+11,86399179141
5/31/21,Social Insurance and Retirement Receipts:,null,null,null
5/31/21,Employment and General Retirement (Off-Budget),79790000000,6.54501E+11,6.37597E+11
5/31/21,Employment and General Retirement (On-Budget),22929570231,2.03752E+11,1.96646E+11
5/31/21,Unemployment Insurance,12469321747,38857974365,31978700122
5/31/21,Other Retirement,439390909.7,3743781497,3457860029
5/31/21,Excise Taxes,6896890568,43285061628,43028173902
5/31/21,Estate and Gift Taxes,3036283722,19091335381,10537621792
5/31/21,Customs Duties,6432510563,50198500373,47111713177
5/31/21,Miscellaneous Receipts,11482894386,76672276831,70006641097
5/31/21,Total Receipts,4.63745E+11,2.60688E+12,2.01924E+12
5/31/21,(Off-Budget),79790000000,6.54501E+11,6.37597E+11
5/31/21,Legislative Branch,401647206.5,3465710751,3521292174
5/31/21,Judicial Branch,590520377.2,5550560545,5631690730
5/31/21,Department of Agriculture,16895355549,1.56475E+11,1.11466E+11
5/31/21,(On-Budget),3.83955E+11,1.95238E+12,1.38164E+12
5/31/21,Budget Outlays,null,null,null
5/31/21,Department of Commerce,747585876.4,9589106591,10497756912
5/31/21,Department of Defense--Military Programs,49438565504,4.80043E+11,4.61912E+11
5/31/21,Department of Education,8994591941,71386073688,57818816188
5/31/21,Department of Energy,2267176991,22836480229,21378985703
5/31/21,Department of Health and Human Services,82127592906,9.57695E+11,9.97981E+11
5/31/21,Department of Homeland Security,6284084579,60996321166,40543119909
5/31/21,Department of Housing and Urban Development,3852766278,28171634693,32451973975
5/31/21,Department of the Interior,1131400881,9420518798,10505972690
5/31/21,Department of Justice,3477138516,25433610796,24968361488
5/31/21,Department of Labor,36434051115,2.88355E+11,1.62411E+11
5/31/21,Department of State,2269855566,20782828248,20261870250
5/31/21,Department of Transportation,7339631999,64345937815,56536585224
5/31/21,Department of the Treasury:,null,null,null
5/31/21,Interest on Treasury Debt Securities (Gross),45713674667,3.19883E+11,3.36959E+11
5/31/21,Other,1.69984E+11,8.91582E+11,5.78237E+11
5/31/21,Department of Veterans Affairs,9393167377,1.55712E+11,1.42945E+11
5/31/21,Other Defense Civil Programs,-529503325.5,41937751458,43456016129
5/31/21,Environmental Protection Agency,669031972.7,5485833398,6051068448
5/31/21,Executive Office of the President,33352578.91,287937958.9,271088100.7
5/31/21,General Services Administration,-166655092.3,-686489643.3,-8468350.31
5/31/21,International Assistance Programs,882220675.1,14582071941,16078424282
5/31/21,National Aeronautics and Space Administration,1622092915,14792420017,14011944943
5/31/21,National Science Foundation,542896765.2,4416945637,4537034219
5/31/21,Office of Personnel Management,9125613355,71450618802,70753869955
5/31/21,Small Business Administration,53160996400,2.93748E+11,25607991319
5/31/21,Social Security Administration,95041756237,7.88492E+11,7.61838E+11
5/31/21,Independent Agencies,1394390719,12262733311,21160646570
5/31/21,Undistributed Offsetting Receipts:,null,null,null
5/31/21,Interest,-6386761349,-67324742332,-72052559918
5/31/21,Other,-7687986190,-86145097624,-74046136998
5/31/21,Total Outlays,5.95698E+11,4.67067E+12,3.89947E+12
5/31/21,(On-Budget),5.03112E+11,3.99669E+12,3.25856E+12
5/31/21,(Off-Budget),92585513018,6.73973E+11,6.40912E+11
5/31/21,Surplus (+) or Deficit (-),-1.31953E+11,-2.06379E+12,-1.88023E+12
5/31/21,Corps of Engineers,654119841.7,5643487723,5782409395
5/31/21,(On-Budget),-1.19158E+11,-2.04432E+12,-1.87691E+12
5/31/21,(Off-Budget),-12795513018,-19472941670,-3314980069
4/30/21,Budget Receipts,null,null,null
4/30/21,Department of Homeland Security,8245800720,54712236588,34511876677
4/30/21,Department of Housing and Urban Development,2050610441,24318868415,27654765629
4/30/21,Department of the Interior,954518837.5,8289117918,9344001592
4/30/21,Department of Justice,3560739164,21956472280,22151765100
4/30/21,Department of Labor,39056299201,2.51921E+11,68542220747
4/30/21,Department of State,2444381843,18512972682,18603384641
4/30/21,Department of Transportation,9431857005,57006305816,46697754779
4/30/21,Department of the Treasury:,null,null,null
4/30/21,Interest on Treasury Debt Securities (Gross),45537476232,2.7417E+11,3.10456E+11
4/30/21,Other,90121205772,7.21599E+11,5.0627E+11
4/30/21,Corps of Engineers,632008423.7,4989367881,5456276373
4/30/21,Other Defense Civil Programs,8243715565,42467248683,37581189715
4/30/21,Environmental Protection Agency,802721006.8,4816801425,5298334842
4/30/21,Executive Office of the President,45438942.25,254585379.9,226971891.8
